Phase,TaskID,Title,Branch,Commit,CopilotPrompt
Phase 0 — Pre-flight,T001,Bootstrap repo,chore/init,chore: initialize matex monorepo,Create a Next.js 14 (App Router) + TypeScript project named 'matex'. Add TailwindCSS. Initialize git with MIT license and basic README.
Phase 0 — Pre-flight,T002,VS Code workspace & settings,chore/vscode-setup,chore: add vscode settings and recommended extensions,"Add .vscode/extensions.json recommending: GitHub Copilot, ESLint, Prettier, Tailwind CSS IntelliSense, EditorConfig, dotenv. Add .vscode/settings.json to format on save with Prettier and tailwind class sorting."
Phase 0 — Pre-flight,T003,EditorConfig + Prettier,chore/formatting,chore: add .editorconfig and prettier config,"Create .editorconfig and .prettierrc. Enforce 2 spaces, LF, single quotes, Prettier integration for TS/JS/MD/JSON."
Phase 0 — Pre-flight,T004,Env templates,chore/env,chore: add .env.example,"Add .env.example with NEXT_PUBLIC_SUPABASE_URL, NEXT_PUBLIC_SUPABASE_ANON_KEY, SUPABASE_SERVICE_ROLE_KEY, STRIPE_SECRET_KEY, STRIPE_WEBHOOK_SECRET."
Phase 1 — Supabase,T005,Supabase client helpers,feat/lib-supabase,feat: add server/client supabase helpers,Create lib/supabaseServer.ts and lib/supabaseClient.ts using @supabase/supabase-js for server (service role) and client (anon key).
Phase 1 — Supabase,T006,Profiles + RBAC schema,db/profiles,db: add profiles table and RLS,"SQL migration for profiles(id uuid pk refs auth.users, full_name, phone, role enum buyer|seller|both|admin, kyc_status enum, company_name, created_at). Enable RLS: users read/update own; admins all."
Phase 1 — Supabase,T007,Listings + Images schema,db/listings,db: add listings and listing_images,"Create listings(id, seller_id, title, description, material, condition, quantity numeric, unit, pricing_type fixed|auction, price_cad, buy_now_cad, location_city, location_province, status, created_at) and listing_images(listing_id,url,sort_order). RLS: seller CRUD own; public read active."
Phase 1 — Supabase,T008,Auctions & Bids schema,db/auctions-bids,db: add auctions and bids tables,"Create auctions(listing_id unique, start_at, end_at, min_increment_cad, soft_close_seconds) and bids(auction_id, bidder_id, amount_cad, created_at). Indexes on auction_id, created_at."
Phase 1 — Supabase,T009,Orders schema,db/orders,db: add orders table,"Create orders(listing_id, buyer_id, seller_id, type fixed|auction, total_cad, status pending|paid|cancelled|fulfilled, stripe_payment_intent, created_at). RLS buyer/seller/admin."
Phase 1 — Supabase,T010,Inspections schema,db/inspections,db: add inspections and bookings,"Create inspections(listing_id, slot_at timestamptz, capacity int) and inspection_bookings(inspection_id, user_id, status booked|attended|no_show|cancelled, booked_at)."
Phase 1 — Supabase,T011,App settings schema,db/app-settings,db: add app_settings and kyc_fields,"Create app_settings(key text pk, value jsonb, updated_by, updated_at) and kyc_fields(role seller|buyer, name, label, type text|number|date|file|select, required, options jsonb, sort_order)."
Phase 1 — Supabase,T012,Notifications schema,db/notifications,db: add notifications & templates,"Create notification_templates(code unique, channel inapp|email|sms, subject, body_md, is_active, updated_at) and notifications(user_id, type info|warning|success|error, title, message, link, is_read, created_at)."
Phase 1 — Supabase,T013,Terms acceptances,db/legal,db: add terms_acceptances,"Create terms_acceptances(user_id, terms_version text, accepted_at). RLS: user reads own, admin all."
Phase 1 — Supabase,T014,Commit migrations,db/commit,db: commit all migrations,"Export SQL migration files and commit to repo, ensuring idempotent scripts."
Phase 2 — Settings,T015,GET /api/settings,feat/api-settings-get,feat: GET /api/settings,"Implement /app/api/settings/route.ts: accept ?keys=a,b,c and return merged JSON from app_settings with 3-min in-memory cache; server-only with service role."
Phase 2 — Settings,T016,POST /api/settings (admin),feat/api-settings-post,feat: POST /api/settings (admin only),Upsert multiple settings keys atomically; invalidate cache; admin role required; return updated keys.
Phase 2 — Settings,T017,Seed default settings,chore/seed-settings,chore: seed app_settings defaults,"Seed auction.soft_close_seconds=120, auction.min_increment_strategy='fixed', auction.min_increment_value=5, auction.deposit_required=true, auction.deposit_percent=0.1, fees.transaction_percent=0.04, notifications.channels=['inapp','email']."
Phase 2 — Settings,T018,Audit log table,db/audit-log,db: add audit_log table,"Create audit_log(id, actor_id, action, before jsonb, after jsonb, created_at). Write helper to log settings changes."
Phase 3 — Auth & KYC,T019,Auth wiring (server/client),feat/auth,feat: supabase auth context and hooks,Create auth utilities to read session server-side and client-side; redirect unauthenticated users for protected routes.
Phase 3 — Auth & KYC,T020,Dynamic onboarding (Buyer/Seller),feat/onboarding-forms,feat: onboarding forms with dynamic KYC fields,Add /onboarding/{buyer|seller} reading kyc_fields from DB to render dynamic forms with validation and file upload to storage.
Phase 3 — Auth & KYC,T021,KYC upload & review status,feat/kyc-upload,feat: KYC upload and status page,"Implement document upload (ID/business license), store metadata, show 'pending/approved/rejected' on profile."
Phase 3 — Auth & KYC,T022,Terms consent gate,feat/terms-consent,feat: require T&C consent on signup and before bidding,Add modal to accept latest terms_version from app_settings; store record in terms_acceptances; block actions until accepted.
Phase 4 — Listings,T023,Create listing UI,feat/listing-create,feat: listing create form + upload,"Build /sell/new with title, material, qty, unit, pricing_type fixed|auction, price, location, images. Upload to Supabase Storage."
Phase 4 — Listings,T024,Browse listings page,feat/listings-browse,feat: listings grid with filters,"Implement /browse with filters (material, price range, type, location). SSR data with pagination."
Phase 4 — Listings,T025,Listing detail page,feat/listing-detail,feat: listing detail page,"Show gallery, specs, seller card, inspection slots, pricing area (buy now / bid)."
Phase 4 — Listings,T026,Search & FTS,feat/listings-search,feat: full-text search on listings,Add Postgres FTS on title/description/material; implement search bar and highlight matches.
Phase 5 — Auctions,T027,Auction helpers,feat/auction-hooks,feat: auction status & minNextBid helpers,"Compute isActive, timeLeft, currentHighBid, minNextBid (fixed or percent) from settings."
Phase 5 — Auctions,T028,POST /api/auctions/[id]/bid,feat/api-bid,feat: POST /api/auctions/[id]/bid with soft-close,"Validate auction active, user deposit authorized, amount >= minNextBid. Insert bid. If remaining <= soft_close_seconds, extend end_at. Return new state."
Phase 5 — Auctions,T029,Realtime bids subscription,feat/bid-realtime,feat: live bid feed via Supabase Realtime,Subscribe to bids by auction_id; update current price and history live; optimistic UI on place bid.
Phase 5 — Auctions,T030,Outbid notifications,feat/outbid-notify,feat: trigger outbid notifications,"On new highest bid, notify previous highest bidder via in-app/email using notification_templates."
Phase 6 — Inspections,T031,Manage inspection slots (seller),feat/inspection-manage,feat: manage inspection slots per listing,Seller can add/remove slots with capacity and buffers from settings; validate time overlaps.
Phase 6 — Inspections,T032,Book/cancel inspection (buyer),feat/inspection-book,feat: book and cancel inspection slots,Allow booking if capacity available; prevent duplicates; show upcoming visits; notify buyer & seller.
Phase 6 — Inspections,T033,Inspection reminders,feat/inspection-reminders,feat: reminder notifications for inspections,Send reminders X hours before slot time (configurable in settings) via in-app/email.
Phase 7 — Deposits,T034,Stripe client setup,feat/stripe-setup,feat: stripe client and env keys,Create lib/stripe.ts; load keys from env; add test mode indicator on UI.
Phase 7 — Deposits,T035,Authorize deposit,feat/api-deposit,feat: POST /api/deposits/authorize,Authorize deposit (percent or flat from settings) using PaymentIntent with capture later; link to user+auction; gate bidding.
Phase 7 — Deposits,T036,Release/refund deposits,feat/deposit-release,feat: release and refund non-winning deposits,"On auction close, capture winner deposit (apply to invoice) and cancel others; implement cron/server action."
Phase 7 — Deposits,T037,Deposit status UI,feat/deposit-ui,feat: show deposit status in auction page,Show 'Deposit required/authorized' badges and CTA to authorize deposit before bidding.
Phase 8 — Payments,T038,Fixed price checkout,feat/checkout-fixed,feat: Stripe checkout for fixed listings,Create /api/checkout/fixed to create Checkout Session; create pending order; success/cancel pages and status updates.
Phase 8 — Payments,T039,Auction winner invoice,feat/invoice-auction,feat: generate invoice for auction winner,"When auction closes, create order with total = winning bid; deduct deposit; create remaining balance PaymentIntent."
Phase 8 — Payments,T040,Stripe webhooks,feat/stripe-webhooks,feat: handle Stripe webhooks,Add /api/stripe/webhook verifying signature; handle checkout.session.completed and payment_intent.succeeded; update orders.
Phase 8 — Payments,T041,Payout delay & fees,feat/payout-fees,feat: payout delay and platform fee settings,Apply fees.transaction_percent; set payout delay days from settings; reflect in order summary.
Phase 9 — Notifications,T042,Bell dropdown UI,feat/notifications-ui,feat: notifications dropdown + page,Navbar bell with unread count; dropdown last 10; /notifications list with pagination; mark-as-read.
Phase 9 — Notifications,T043,Notification triggers,feat/notifications-triggers,feat: triggers for bid/win/inspection/deposit,"Server helpers to insert notifications on: new bid, outbid, auction won, inspection booked, deposit authorized."
Phase 9 — Notifications,T044,Email renderer,feat/email-templates,feat: render email templates from DB,Compile body_md with simple templating (Handlebars-like); send via nodemailer (stub provider).
Phase 9 — Notifications,T045,User preferences,feat/notify-preferences,feat: notification preferences page,Settings page to toggle channels (inapp/email/sms) and digest frequency; store in app_settings or per-user table.
